id,name,breed_time,buy_price,hatch_time,breedable,hatch_xp,description
1,Nature Dragon,20 minutes ,500,20 minutes ,Yes,1000,"The Nature Dragon is a Common Dragon   with the primary typing of Nature.       The Nature Dragon loves humans, animals, and all living things - some of them for gastronomic purposes. Even though she hasnt eaten a whole human, a finger or two have been lost..."
2,Firebird Dragon,7 Hours ,100,13 Hours ,Yes,1000,The Firebird Dragon is a Common Dragon   with the primary typing of Flame. The Firebird Dragon can also learn Nature moves.      Like a phoenix - the symbol of rebirth - this dragon is said to be immortal. His fiery feathers and regal flight are an impressive sight. It is said that this birds cry is that of a beautiful song.
3,Mercury Dragon,9 Hours ,250,15 Hours ,Yes,5000,"The Mercury Dragon is a Common Dragon   with the primary typing of Sea. The Mercury Dragon can also learn Metal moves.      This dragon is highly unpredictable, poisonous and has an exceptionally low melting point. But when the sun shines from the right angle, this liquid creature looks absolutely magnificent!"
4,Gummy Dragon,7 Hours ,100,13 Hours ,Yes,5000,"The Gummy Dragon is a Common Dragon   with the primary typing of Nature. The Gummy Dragon can also learn Electric moves.      Bouncy and happy, you will have a new best friend in this dragon! The Gummy Dragon loves butterflies, sugar and summer clouds."
5,Lantern Fish Dragon,,,,,,
6,Tropical Dragon,7 Hours ,100,13 Hours ,Yes,1000,"The Tropical Dragon is a Common Dragon   with the primary typing of Terra. The Tropical Dragon can also learn Nature moves.      The Tropical Dragon likes to dance all night, do acrobatics, and enjoy life in general. His happy-go-lucky attitude is very catchy, so in his company it’s impossible not to smile!"
7,Zombie Dragon,9 Hours ,500,15 Hours ,Yes,100000,"The Zombie Dragon is a Common Dragon   with the primary typing of Metal. The Zombie Dragon can also learn Dark moves.      This undead dragon has a huge appetite! He keeps eating, but somehow nothing seems to fill him up. Despite his constant hunger, forgetful nature, and bad vision, he has proven to be loyal."
8,Petroleum Dragon,13 Hours ,500,19 Hours ,Yes,200000,"The Petroleum Dragon is a Rare Dragon   with the primary typing of Sea. The Petroleum Dragon can also learn Dark moves.      A dragon with the worst attitude. He can look extremely dirty at first, but his character is flawless. Petroleum Dragons like sunshine and sandy beaches. They despise the cold."
9,Dandelion Dragon,9 Hours ,250,15 Hours ,Yes,5000,"The Dandelion Dragon is a Common Dragon   with the primary typing of Nature. The Dandelion Dragon can also learn Ice moves.      This feather-light friend is a must for every dragon enthusiast. Her puffy appearance will draw crowds from far, far away to see her famous disappearing act."
10,Jade Dragon,13 Hours ,250,19 Hours ,Yes,5000,"The Jade Dragon is a Common Dragon   with the primary typing of Nature. The Jade Dragon can also learn Metal moves.      The Jade Dragon is the wisest of them all. Ask him any question or present him any problem, and you will receive an answer from this ancient being. All you have to do is learn Chinese first!"
11,Star Dragon,7 Hours ,100,9 Hours ,Yes,5000,"The Star Dragon is a Rare Dragon   with the primary typing of Terra. The Star Dragon can also learn Electric moves.      Who doesnt like looking at stars on a clear night? This dragon is made of stars, and during the night you can see her shine. The Star Dragon is one of the calmest and happiest dragons, a friend to all."
12,Terra Dragon,15 seconds ,100,15 seconds ,Yes,50,"The Terra Dragon is a Common Dragon   with the primary typing of Terra.       Dont be afraid! Thats not an earthquake, just a dignified Terra Dragon out for a walk. Terra Dragons are known for their love of dirt and extremely humble and honest nature."
13,Flaming Rock Dragon,,,,,,
14,Armadillo Dragon,9 Hours ,250,15 Hours ,Yes,5000,"The Armadillo Dragon is a Common Dragon   with the primary typing of Terra. The Armadillo Dragon can also learn Metal moves.      Armadillo is an easily angered dragon, so be very careful when around him. He wears heavy protective gear, but what lies under all that armor and anger? Go find out!"
15,Cloud Dragon,5 Hours ,55,7 Hours ,Yes,250,"The Cloud Dragon is a Common Dragon   with the primary typing of Flame. The Cloud Dragon can also learn Sea moves.      Many people dont even realize theyve seen this dragon before. Why, you ask? Because she blends so perfectly into the sky! If you sometimes feel like the rain clouds are following you, this is probably the reason!"
16,Laser Dragon,9 Hours ,100,15 Hours ,Yes,5000,The Laser Dragon is a Common Dragon   with the primary typing of Flame. The Laser Dragon can also learn Electric moves.      This futuristic dragon is a delightful addition to your islands. Hes highly energetic and likes to fry small insects with his laser beams. This makes it easy to control the bug population on your islands!
17,Mud Dragon,5 Hours ,50,7 Hours ,Yes,250,"The Mud Dragon is a Common Dragon   with the primary typing of Terra. The Mud Dragon can also learn Sea moves.      Theyre sometimes mistakenly described as chubby or lazy, but we happen to know that Mud Dragons are on a strict organic mud diet and only enjoy an occasional fly when it happens to land directly in their mouths."
18,Nenufar Dragon,5 Hours ,100,7 Hours ,Yes,1000,"The Nenufar Dragon is a Common Dragon   with the primary typing of Sea. The Nenufar Dragon can also learn Nature moves.      Fantastically beautiful, this dragon always draws crowds wherever she goes. Have you seen flowers floating on a pond? Maybe one wasnt a flower after all..."
19,Hedgehog Dragon,9 Hours ,750,15 Hours ,Yes,100000,"The Hedgehog Dragon is a Common Dragon   with the primary typing of Terra. The Hedgehog Dragon can also learn Dark moves.      This dragon is extremely fond of people, but unfortunately his spiky exterior is not exactly human-friendly. Wear some armor and go play!"
20,Ice Cube Dragon,,,,,,
21,Flame Dragon,30 seconds ,100,30 seconds ,Yes,50,"The Flame Dragon is a Common Dragon   with the primary typing of Flame.       If you cant take the heat, stay away from the Flame Dragon! This temperamental creature is easily set off but calms down just as fast. And he always feels deep remorse for the things he burned."
